"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D44","3.2X1.6X1.1","237.42mm","246.254mm","237.42mm","246.254mm","235.6699mm","246.254mm","T","360.00","LED2"
"D43","3.2X1.6X1.1","223.92mm","246.254mm","223.92mm","246.254mm","222.17mm","246.254mm","T","360.00","LED2"
"D42","3.2X1.6X1.1","210.42mm","246.254mm","210.42mm","246.254mm","208.6699mm","246.254mm","T","360.00","LED2"
"D41","3.2X1.6X1.1","196.92mm","246.254mm","196.92mm","246.254mm","195.17mm","246.254mm","T","360.00","LED2"
"D40","3.2X1.6X1.1","183.42mm","246.254mm","183.42mm","246.254mm","181.6699mm","246.254mm","T","360.00","LED2"
"D39","3.2X1.6X1.1","169.92mm","246.254mm","169.92mm","246.254mm","168.17mm","246.254mm","T","360.00","LED2"
"D38","3.2X1.6X1.1","156.42mm","246.254mm","156.42mm","246.254mm","154.67mm","246.254mm","T","360.00","LED2"
"D37","3.2X1.6X1.1","142.92mm","246.254mm","142.92mm","246.254mm","141.17mm","246.254mm","T","360.00","LED2"
"D36","3.2X1.6X1.1","129.42mm","246.254mm","129.42mm","246.254mm","127.67mm","246.254mm","T","360.00","LED2"
"D35","3.2X1.6X1.1","115.92mm","246.254mm","115.92mm","246.254mm","114.17mm","246.254mm","T","360.00","LED2"
"D34","3.2X1.6X1.1","102.42mm","246.254mm","102.42mm","246.254mm","100.67mm","246.254mm","T","360.00","LED2"
"D33","3.2X1.6X1.1","88.92mm","246.254mm","88.92mm","246.254mm","87.17mm","246.254mm","T","360.00","LED2"
"D32","3.2X1.6X1.1","291.42mm","256.2539mm","291.42mm","256.254mm","289.67mm","256.2539mm","T","360.00","LED2"
"D31","3.2X1.6X1.1","277.9199mm","256.2539mm","277.9199mm","256.254mm","276.1699mm","256.2539mm","T","360.00","LED2"
"D30","3.2X1.6X1.1","264.4199mm","256.2539mm","264.4199mm","256.254mm","262.6699mm","256.2539mm","T","360.00","LED2"
"D29","3.2X1.6X1.1","250.92mm","256.2539mm","250.92mm","256.254mm","249.1699mm","256.2539mm","T","360.00","LED2"
"D28","3.2X1.6X1.1","237.42mm","256.2539mm","237.42mm","256.254mm","235.67mm","256.2539mm","T","360.00","LED2"
"D27","3.2X1.6X1.1","223.92mm","256.2539mm","223.92mm","256.254mm","222.1699mm","256.2539mm","T","360.00","LED2"
"D26","3.2X1.6X1.1","210.42mm","256.2539mm","210.42mm","256.254mm","208.67mm","256.2539mm","T","360.00","LED2"
"D25","3.2X1.6X1.1","196.92mm","256.2539mm","196.92mm","256.254mm","195.17mm","256.2539mm","T","360.00","LED2"
"D24","3.2X1.6X1.1","183.42mm","256.2539mm","183.42mm","256.254mm","181.67mm","256.2539mm","T","360.00","LED2"
"D23","3.2X1.6X1.1","169.92mm","256.2539mm","169.92mm","256.254mm","168.17mm","256.2539mm","T","360.00","LED2"
"D22","3.2X1.6X1.1","156.42mm","256.2539mm","156.42mm","256.254mm","154.67mm","256.2539mm","T","360.00","LED2"
"D21","3.2X1.6X1.1","142.92mm","256.2539mm","142.92mm","256.254mm","141.17mm","256.2539mm","T","360.00","LED2"
"D20","3.2X1.6X1.1","129.42mm","256.2539mm","129.42mm","256.254mm","127.67mm","256.2539mm","T","360.00","LED2"
"D19","3.2X1.6X1.1","115.92mm","256.2539mm","115.92mm","256.254mm","114.17mm","256.2539mm","T","360.00","LED2"
"D18","3.2X1.6X1.1","102.42mm","256.2539mm","102.42mm","256.254mm","100.67mm","256.2539mm","T","360.00","LED2"
"D17","3.2X1.6X1.1","88.92mm","256.2539mm","88.92mm","256.254mm","87.17mm","256.2539mm","T","360.00","LED2"
"D16","3.2X1.6X1.1","291.42mm","266.254mm","291.42mm","266.254mm","289.67mm","266.254mm","T","360.00","LED2"
"D15","3.2X1.6X1.1","277.9199mm","266.254mm","277.9199mm","266.254mm","276.1699mm","266.254mm","T","360.00","LED2"
"D14","3.2X1.6X1.1","264.42mm","266.254mm","264.42mm","266.254mm","262.67mm","266.254mm","T","360.00","LED2"
"D13","3.2X1.6X1.1","250.92mm","266.254mm","250.92mm","266.254mm","249.17mm","266.254mm","T","360.00","LED2"
"D12","3.2X1.6X1.1","237.42mm","266.254mm","237.42mm","266.254mm","235.67mm","266.254mm","T","360.00","LED2"
"D11","3.2X1.6X1.1","223.92mm","266.254mm","223.92mm","266.254mm","222.1699mm","266.254mm","T","360.00","LED2"
"D10","3.2X1.6X1.1","210.42mm","266.254mm","210.42mm","266.254mm","208.67mm","266.254mm","T","360.00","LED2"
"D9","3.2X1.6X1.1","196.92mm","266.254mm","196.92mm","266.254mm","195.17mm","266.254mm","T","360.00","LED2"
"D8","3.2X1.6X1.1","183.42mm","266.254mm","183.42mm","266.254mm","181.67mm","266.254mm","T","360.00","LED2"
"D7","3.2X1.6X1.1","169.92mm","266.254mm","169.92mm","266.254mm","168.17mm","266.254mm","T","360.00","LED2"
"D6","3.2X1.6X1.1","156.42mm","266.254mm","156.42mm","266.254mm","154.67mm","266.254mm","T","360.00","LED2"
"D5","3.2X1.6X1.1","142.92mm","266.254mm","142.92mm","266.254mm","141.17mm","266.254mm","T","360.00","LED2"
"D4","3.2X1.6X1.1","129.42mm","266.254mm","129.42mm","266.254mm","127.67mm","266.254mm","T","360.00","LED2"
"D3","3.2X1.6X1.1","115.92mm","266.254mm","115.92mm","266.254mm","114.17mm","266.254mm","T","360.00","LED2"
"D2","3.2X1.6X1.1","102.42mm","266.254mm","102.42mm","266.254mm","100.67mm","266.254mm","T","360.00","LED2"
"D1","3.2X1.6X1.1","88.92mm","266.254mm","88.92mm","266.254mm","87.17mm","266.254mm","T","360.00","LED2"
"Catodos1","HDR2X8","189.8758mm","278.424mm","180.9858mm","277.154mm","180.9858mm","277.154mm","T","360.00","Header 8X2"
"Anodos1","HDR2X8","97.5532mm","278.424mm","88.6632mm","277.154mm","88.6632mm","277.154mm","T","360.00","Header 8X2"

